Category,Text	
negative,"""4924"",""folks we cant be so cruel, we will have to empathize with opposition who have been crippled financially &amp; politically due to demonetization"",false,5,na,""2016-11-23 03:09:38"",false,na,""801261397233451008"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""anilkohli54"",7,false,false"	
negative,"""4923"",""swiss bank a/c details to b received from sep 2018. why d hell so late! oh elections r in may 2019, gr8 timing. demonetization blackmoney"",false,0,na,""2016-11-23 03:09:39"",false,na,""801261399553019904"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""ithoughtfool"",2,false,false"	
negative,"""5330"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 20:53:26"",false,na,""801166724317876224"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""weewake666"",23,true,false"	
negative,"""4921"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 03:10:50"",false,na,""801261699718205441"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""indianalltheway"",14,true,false"	
negative,"""5620"",""everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,24,na,""2016-11-22 18:16:33"",false,na,""801127240868200448"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""kanimozhi"",23,false,false"	
negative,"""4919"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 03:11:04"",false,na,""801261757289275393"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""agarwal_navin"",14,true,false"	
negative,"""7799"",""rt : [data] social media reactions to demonetization   11:34:18"",false,na,""801026014214139904"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""mikayla__isugly"",7,true,false"	
negative,"""1992"",""absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,5,na,""2016-11-23 11:31:00"",false,na,""801387569174847488"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""anilkohli54"",7,false,false"	
negative,"the innocent poor common people of india are victims of harassment by the...  11:31:42"",false,na,""801387745126055936"",na,""<a href="""" rel=""""nofollow"""">facebook</a>"",""saeedfalahi"",0,false,false"	
negative,"""4918"",""folks we cant be so cruel, we will have to empathize with opposition who have been crippled financially &amp; politically due to demonetization"",false,0,na,""2016-11-23 03:11:18"",false,na,""801261818173935616"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""vatsmanoj55"",0,false,false"	
negative,"""7587"","" demonetization how can people participate in survey if they don't have smartphone."",false,0,""narendramodi"",""2016-11-22 12:07:02"",false,""800999865719230464"",""801034250266890240"",""18839785"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""hemantxz"",0,false,false"	
negative,"""944"",""  unfortunately for pessimists like """"bjp insider"""" demonetization is becoming success ."",false,0,""11ashokaroad"",""2016-11-23 15:30:41"",false,""801027728044503042"",""801447889897750528"",""2878094030"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""nkura52"",0,false,false"	
negative,"""1983"",""rt : absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,0,na,""2016-11-23 11:32:46"",false,na,""801388017034362880"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""priyapippi"",7,true,false"	
negative,"""1981"",""rt : absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,0,na,""2016-11-23 11:32:56"",false,na,""801388055579881472"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""pamelag2000"",7,true,false"	
negative,"""834"",""listening to zaka jacob berating and trying to prove demonetization  is working. ha! laughable attempt."",false,0,na,""2016-11-23 15:52:25"",false,na,""801453357990674434"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""arnav_d"",0,false,false"	
negative,"""7096"","" demonetization scam in up buses : ...500/1000 notes to govt.exchanging money of corrupt"",false,0,""ayavjnp"",""2016-11-22 13:28:17"",false,""801054484298350592"",""801054697549336577"",""3007564717"",""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""ayavjnp"",0,false,false"	
negative,"""1979"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 11:33:27"",false,na,""801388184865161216"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""sumitsharma_91"",16,true,false"	
negative,"""6890"",""rbi sets firm guidelines for withdrawal of cash for weddings demonetization   14:00:31"",false,na,""801062809484169216"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""odishanews360"",0,false,false"	
negative,"""4916"","" : demonetization: are the poor really suffering?"",false,0,na,""2016-11-23 03:11:44"",false,na,""801261926747701248"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""vikrantsinghvi"",0,false,false"	
negative,"""1975"",""this isn't as awful as the demonetization woes i hear from field partners in villages but i see a pattern here. 4/n"",false,1,""storygheek"",""2016-11-23 11:34:07"",false,""801387809592340480"",""801388355787235328"",""57677983"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""storygheek"",0,false,false"	
negative,"""1974"",""  etc, indians can see through hypocrisy. don't b blind in opposing you are embarrassing yourself. demonetization"",false,0,""officeofrg"",""2016-11-23 11:34:09"",false,na,""801388364645560320"",""3171712086"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""rahulchoudhary"",0,false,false"	
negative,delhities standing in long bank que's praising pm modi's demonetization &amp; cursing thug	
negative,"""4475"","" it's very balanced piece bjp has made gains tmc which is opposing also made gains demonetization impact fully visible in up"",false,1,""nishith1608"",""2016-11-23 05:25:56"",false,""801294873659867136"",""801295697391878146"",""75991116"",""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""politicalbaaba"",0,false,false"	
negative,"""3044"",""rt : unable to withdraw money for exam fees, teen hangs himself demonetization"	
negative,"""4474"",""rt : bad thing is"	
negative,"""4473"",""while the corrupt protest personal loss of black money due demonetization public celebrates their loss."",false,5,na,""2016-11-23 05:26:27"",false,na,""801295830477049856"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""anilkohli54"",2,false,false"	
negative,"""1968"",""it's game set &amp; match to pm modi demonetization"",false,10,na,""2016-11-23 11:35:30"",false,na,""801388701465001984"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""anilkohli54"",7,false,false"	
negative,"""3042"","" demonetization is wrong way to curb black money"	
negative,"""1965"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:36:17"",false,na,""801388900275003392"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""saravananmss"",7,true,false"	
negative,"18:02:41"",false,""801484177300295680"",""801486142201823232"",""47712007"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""dhriyamana"",0,false,false"	
negative,"""5613"","" he could be hopping between atm's, modiji ka kripa demonetization"",false,0,""runjhunmehrotra"",""2016-11-22 18:16:47"",false,""800776797776322560"",""801127303048732672"",""189782415"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""arunpatil36"",0,false,false"	
negative,"what is the real game of jdu ?  05:27:21"",false,na,""801296055870570497"",""143409075"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""pratibharat"",0,false,false"	
negative,"""6923"",""rt :  the saviour - gives money to farmhouse poor peoples in demonetization"	
negative,"""1954"",""jan dhan accs crditd wid 21k crs aftr demonetization, n mor intrestng fact is dat d hiest amt of mny's bn deposted frm so-cld poor state wb"",false,0,na,""2016-11-23 11:38:33"",false,na,""801389469572153344"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""kalburgib"",0,false,false"	
negative,"""4912"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,"""3028"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 08:39:43"",false,na,""801344464056975360"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""bhavnapb"",16,true,false"	
negative,"""4470"",""rt : while the corrupt protest personal loss of black money due demonetization public celebrates their loss."",false,0,na,""2016-11-23 05:27:30"",false,na,""801296093292220417"",na,""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""ramesh94_bithar"",2,true,false"	
negative,"""1952"",""rt : so cjithakur says there will be riots due to demonetization qs"	
negative,"""13"","" bharat band on 28??<ed><u+00a0><u+00bd><ed><u+00b8><u+0082>those who  are protesting demonetization  are all different party leaders."",false,0,""jaggesh2"",""2016-11-23 18:37:15"",false,""801482081511448576"",""801494840018108416"",""1225924610"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""yuvaraj_karki"",0,false,false"	
negative,"""5322"",""sad that  is losing its credibility by reporting the biased news on demonetization and seeding negativity in people's mind!"",false,0,na,""2016-11-22 21:00:51"",false,na,""801168589608755200"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""praveenvspatil"",0,false,false"	
negative,economics behind demonetization of rs 1000 &amp; 500 notes.	
negative,"""6237"",""rt : demonetization: it's just the beginning, says pm modi as bjp mps endorse his crusade. worst is yet to come"	
negative,"""397"","" u sayin inconvenience due to demonetization but ur govt destroying karnataka by constructing steelbridge  netavilla"",false,0,""officeofrg"",""2016-11-23 17:11:54"",false,na,""801473359041048576"",""3171712086"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""bg_yogesh"",0,false,false"	
negative,"""3008"",""rt : a request -instead of tweeting &amp; posting negative abt demonetization, pl post/tweet abt working atms, banks in ur locality"",false,0,na,""2016-11-23 08:42:45"",false,na,""801345229710299136"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""harishgksms"",5,true,false"	
negative,"""5608"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 18:18:12"",false,na,""801127656192294912"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""venugopalgv"",23,true,false"	
negative,"dalits need der own country rather relying on stupid uppercaste netas of india"",false,0,na,""2016-11-23 08:43:50"",false,na,""801345501924835328"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""sourabhprk"",0,false,false"	
negative,"""6861"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:05:38"",false,na,""801064096149815296"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""rsrajat365"",24,true,false"	
negative,"""6459"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  15:12:23"",false,na,""801080896648519685"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""bk_surender1989"",24,true,false"	
negative,"""6910"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  13:56:35"",false,na,""801061819121078272"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""shivakap"",24,true,false"	
negative,"""146"",""rt : harvard's larry summers calls demonetization as poor policy with disproportionate negative impact on poor/trade."	
negative,"""4461"",""centre hints in sc that 'lending rates would come down as banks are flushed with money due to demonetization '"",false,0,na,""2016-11-23 05:29:05"",false,na,""801296490668949504"",na,""<a href="""" rel=""""nofollow"""">twitter for windows</a>"",""arvindgunasekar"",0,false,false"	
negative,"""1936"","" why is the tv media not showing the truth that people are accusing modi's demonetization in real life"",false,0,""rohinisgh_et"",""2016-11-23 11:42:52"",false,""801104853673996288"",""801390555523477504"",""267861878"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""niyatir8855"",0,false,false"	
negative,"""1935"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:43:09"",false,na,""801390629435494400"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""akohli03"",7,true,false"	
negative,"""7494"",""chaos incited to destabilize demonetization for ballot gain is country's ill luck. help people if at risk. we are gov not modi. "",false,0,na,""2016-11-22 12:22:47"",false,na,""801038215968718848"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""raajjeeb"",0,false,false"	
negative,"""7720"",""rt : this is absolute humiliation for  's poor demonetization execution"	
negative,"""814"",""why is it so difficult for bjp to have a coherent, cogent communication on a critical situation like demonetization?"",false,1,""gbkansara"",""2016-11-23 15:57:37"",false,""801454223455981568"",""801454666349322240"",""107724957"",""<a href="""" rel=""""nofollow"""">twitter for windows</a>"",""gbkansara"",0,false,false"	
negative,"""1925"",""still 40% of atms are out of order or cashless. we public are facing so much of trouble  demonetization   "",false,0,na,""2016-11-23 11:44:07"",false,na,""801390872277286912"",na,""<a href="""" rel=""""nofollow"""">tweetdeck</a>"",""kanika_shetty1"",0,false,false"	
negative,"""4454"",""rt : while the corrupt protest personal loss of black money due demonetization public celebrates their loss."",false,0,na,""2016-11-23 05:31:00"",false,na,""801296972141445122"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""minesh_jsn"",2,true,false"	
negative,delhities standing in long bank que's praising pm modi's demonetization &amp; cursing thug	
negative,"""5793"",""hi  please report on the massive demonetization crisis that is happening in india. millions of indians adversely affected."",false,0,""roamingraghu"",""2016-11-22 17:36:54"",false,""800678022323924992"",""801117264451731457"",""2570549330"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""roamingraghu"",1,false,false"	
negative,"""2981"",""rt : per c-voter on demonetization, approximately:"	
negative,"""7198"",""whatever gud bjp has done dmtn for? now seems a wasted exercise bec h wk not done. notes shld have bn prtd b4 d announcement demonetization"",false,0,na,""2016-11-22 13:14:25"",false,na,""801051209150828549"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""hiroomahtani1"",0,false,false"	
negative,"""1909"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:45:19"",false,na,""801391172627271680"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""nischelbaxi"",7,true,false"	
negative,"""7301"",""black market guys charging ..for blackmoney 200, 100 against 500..."	
negative,"""1905"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:45:59"",false,na,""801391340483293184"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""akhillodha"",7,true,false"	
negative,"""145"",""rt : harvard's larry summers calls demonetization as poor policy with disproportionate negative impact on poor/trade."	
negative,"""6564"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:56:29"",false,na,""801076895316054016"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""syedmohdyasir3"",24,true,false"	
negative,"""1902"",""rt : is demonetization a gamechanging eco reform that'll hit terror funding, fake notes &amp; black economy?"",false,0,na,""2016-11-23 11:46:19"",false,na,""801391423572606976"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""vevck"",321,true,false"	
negative,"""6370"",""rt : demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,modi assumes all poor have smartphones!	
negative,"""5599"",""this show the real motive behind the so-called survey on demonetization."	
negative,it's deliberate drama being done for pr propaganda.	
negative,"""2971"","" guys! opposition has called a band this 28 for demonetization; let's join hands in boycotting this band. indiaagainstcorruption"",false,0,""jhasanjay"",""2016-11-23 08:47:12"",false,""801286736055660546"",""801346350273142784"",""50943008"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""desaiardeshir"",0,false,false"	
negative,"""3772"",""uproar in parliament is due to opposition parties ?"	
negative,"""5789"","" demonetization decision may benefit in the long run but without any doubt it has created inconvenience to common people.."",false,0,""madhukishwar"",""2016-11-22 17:38:09"",false,""801113285013553152"",""801117578449932288"",""258283931"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""ashishkt30"",0,false,false"	
negative,"""6707"",""rt : demonetization: paan shop owner gets 'fake' rs 2,000 note in ahmedabad  14:36:08"",false,na,""801071774322438146"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""jha__pooja"",24,true,false"	
negative,"""5297"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 21:32:59"",false,na,""801176676377849856"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""monk_razr"",23,true,false"	
negative,"""4444"",""naxalites are either surrendering or being killed. demonetization played a part.   "",false,10,""ippatel"",""2016-11-23 05:33:45"",false,""801296485249908736"",""801297663488618496"",""285655507"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""internethinduz"",5,false,false"	
negative,"""7581"",""rt : ~ says india is through the worst of demonetization; things should start to improve quite rapidly."	
negative,"""2967"","" demonetization people are waiting for the limit to which government are going to fool"",false,2,""httweets"",""2016-11-23 08:48:31"",false,""801342254174572544"",""801346681639936000"",""36327407"",""<a href="""" rel=""""nofollow"""">twitter for windows</a>"",""pranaynordic"",0,false,false"	
negative,"""2965"",""desperate times call for desperate measures? demonetization frugalinnovation jugaad  08:48:49"",false,na,""801346754742550529"",na,""<a href="""" rel=""""nofollow"""">facebook</a>"",""cioandleader"",1,false,false"	
negative,"""1879"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:50:30"",false,na,""801392479182299136"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""cgbalajird"",7,true,false"	
negative,it's deliberate drama being done for pr propaganda.	
negative,"anti nationals crying"",false,0,na,""2016-11-23 03:18:59"",false,na,""801263750015840260"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""amoghnavare"",1,true,false"	
negative,"""436"",""till 2014 it was people vs corrupt  led upa etc;now after demonetization it is people vs tax terrorist govt of "",false,0,na,""2016-11-23 17:03:42"",false,na,""801471296877903872"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""everg3"",0,false,false"	
negative,"""2963"",""demonetisation: not worthwhile, said finance minister who imposed 1978 note ban"	
negative,"""5295"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 21:34:11"",false,na,""801176977247858689"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""kanimozhi"",23,true,false"	
negative,"""6217"",""even if you're 100% white money &amp; even if you're unaffected, this demonetization move has given a lot of folks a reason to pause &amp; think lt"",false,9,na,""2016-11-22 16:02:22"",false,na,""801093475047391233"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""giniromet"",5,false,false"	
negative,"""1869"",""rt : absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,0,na,""2016-11-23 11:53:00"",false,na,""801393108168704001"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""textilemail"",7,true,false"	
negative,"""4439"","" no matter what drama they do,people are with the govt's decision.it will never be changed.demonetization"",false,0,""timesofindia"",""2016-11-23 05:34:36"",false,""801257284475043840"",""801297878861959168"",""134758540"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""jimmy000938387"",0,false,false"	
negative,"""1865"",""farmers are finding so much trouble to buy farming seeds boz few seed sellers r not ready to accept old notes demonetization currencyban"",false,0,na,""2016-11-23 11:53:24"",false,na,""801393208198459392"",na,""<a href="""" rel=""""nofollow"""">tweetdeck</a>"",""_rani_sudha"",0,false,false"	
negative,"""7487"",""chaos incited to destabilize demonetization for ballot gain is country's ill luck. help people if at risk. we are gov not modi. "",false,0,na,""2016-11-22 12:23:39"",false,na,""801038432755535873"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""raajjeeb"",0,false,false"	
negative,"""1862"",""   dear sir, please do not rollback the demonetization !come whatever may. we will not bend to stupidity of oppn"",false,0,""pmoindia"",""2016-11-23 11:53:52"",false,na,""801393325110624256"",""471741741"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""akshaynadgir"",0,false,false"	
negative,"""1861"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 11:53:57"",false,na,""801393346736336896"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""desivoltaire"",7,true,false"	
negative,"""7963"","" if they claim all credit to pm &amp; after all pm &amp; fm r d only ones 2 know d demonetization, why shouldn't he turn up to parliament?"",false,1,""ani_news"",""2016-11-22 11:02:05"",false,""801009599901929472"",""801017904078594049"",""355989081"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""nichebrain"",0,false,false"	
negative,"""4886"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 03:19:33"",false,na,""801263891879698432"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""krch2783"",14,true,false"	
negative,"printing of rs 100 notes could have been done before demonetization.no babu anticipated"",false,0,""india_policy"",""2016-11-22 16:02:53"",false,""801092426064678912"",""801093603229515777"",""21186231"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""gkundra"",0,false,false"	
negative,"""3740"",""why go against something that is to be appreciated,when all you need to do is to help? demonetization"",false,0,""sarath_cfc"",""2016-11-23 07:01:26"",false,""801319470740422656"",""801319733014446080"",""1854819042"",""<a href="""" rel=""""nofollow"""">twitter for windows</a>"",""sarath_cfc"",0,false,false"	
negative,"""1854"",""rt : absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,0,na,""2016-11-23 11:55:21"",false,na,""801393696986071040"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""kochar1976"",7,true,false"	
negative,"""2955"",""rt : per c-voter on demonetization, approximately:"	
negative,"""144"",""rt : harvard's larry summers calls demonetization as poor policy with disproportionate negative impact on poor/trade."	
negative,"""4433"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 05:36:12"",false,na,""801298281712287744"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""prashan20943955"",14,true,false"	
negative,"""3734"",""is it fear of losing or the fear of getting exposed?? demonetization"",false,0,""sarath_cfc"",""2016-11-23 07:01:59"",false,""801319733014446080"",""801319870570889216"",""1854819042"",""<a href="""" rel=""""nofollow"""">twitter for windows</a>"",""sarath_cfc"",0,false,false"	
negative,"""1847"",""useless things right now rs. 500, rs. 1000 &amp; rs. 2000... no one is ready to accept it demonetization imwithmodi"",false,0,na,""2016-11-23 11:55:47"",false,na,""801393806398681088"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""iamrevenkar"",0,false,false"	
negative,"""7089"",""33/ demonetization it is devoid of logic to print rs.2000 notes, instead printing of new rs.500 notes should have kicked off in full vigor"",false,1,""ammu_maanu"",""2016-11-22 13:28:54"",false,""800635179492487169"",""801054853371826180"",""15132089"",""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""ammu_maanu"",0,false,false"	
negative,"""4431"",""wow demonetization popularity keeps rising among the poor  05:37:19"",false,na,""801298561283530752"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""johnstanly"",2,false,false"	
negative,due demonetization i could able to control my expenses and saved some amount of money from past 15 days!!	
negative,"""5777"",""level of cm &amp; dy cm of delhi sad"	
negative,"""7795"",""rt : [data] social media reactions to demonetization   11:35:02"",false,na,""801026198272737280"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""baxtabber47"",7,true,false"	
negative,"""6561"",""rt : demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,""",false,0,""rachitsharma0"",""2016-11-23 03:20:23"",false,""801194443961462785"",""801264102123405312"",""423565309"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""gaganagrawal"",2,false,false"	
negative,"""143"",""the opposition is getting troubled because all their blackmoney have become just a piece of paper due to demonetization <u+092c><u+0940><u+092e><u+093e><u+0930>_<u+0935><u+093f><u+092a><u+0915><u+094d><u+0937>"",false,0,na,""2016-11-23 18:03:11"",false,na,""801486268504776705"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""ajaygrover29"",0,false,false"	
negative,"""2947"",""rt : cooperative banks shut down, sowing season completely disrupted, agri markets &amp; farmers badly affected demonetization"",false,0,na,""2016-11-23 08:52:49"",false,na,""801347762734383108"",na,""<a href="""" rel=""""nofollow"""">mobile web (m2)</a>"",""sagarnemiwal"",22,true,false"	
negative,"""4879"",""demonetization: 5 effects of note ban on the common man  03:20:37"",false,na,""801264161162338304"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""dna"",2,false,false"	
negative,"""4878"",""rt : cooperative banks shut down, sowing season completely disrupted, agri markets &amp; farmers badly affected demonetization"",false,0,na,""2016-11-23 03:21:20"",false,na,""801264340238213120"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""himansh29466255"",22,true,false"	
negative,"""4877"",""rt :  the saviour - gives money to farmhouse poor peoples in demonetization"	
negative,"""3709"",""rt : bad thing is"	
negative,"""1826"",""rt : going by the reaction which party seems to have suffered max loss due to demonetization"",false,0,na,""2016-11-23 12:00:30"",false,na,""801394993919193088"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""sbalyan"",14,true,false"	
negative,"""7194"",""a way to vent your anger? demonetization"	
negative,"""4420"","".  vp rahulgandhi says, opposition is firm on its demand for a jpc probe into demonetization issue"",false,0,na,""2016-11-23 05:40:14"",false,na,""801299295827791872"",na,""<a href="""" rel=""""nofollow"""">twitter web client</a>"",""tawqeerhussain"",0,false,false"	
negative,"""2938"",""rt : shiva sena and sad fall in line with the government on demonetization say, we support the decision. "",false,0,na,""2016-11-23 08:54:33"",false,na,""801348199214628864"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""monk_razr"",16,true,false"	
negative,"""5585"",""rt : everyone seems to hate the rich, even the rich hates richer and the richer hates the richest. demonetization."",false,0,na,""2016-11-22 18:24:32"",false,na,""801129252317986816"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""mayurkotiya"",23,true,false"	
negative,"""1814"",""rt : absolutely hilarious corrupt protesting in the name of poor against. demonetization"",false,0,na,""2016-11-23 12:04:01"",false,na,""801395880007897088"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""gurusunadholi"",7,true,false"	
negative,"""4875"","""""": demonetization: 5 effects of note ban on the common man  03:22:30"",false,na,""801264633638219776"",na,""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""ahirs"",0,false,false"	
negative,"""4413"","" demonetization human chain at parliament only confirms black money in politics! modifightscorruption"",false,0,""narendramodi"",""2016-11-23 05:42:51"",false,na,""801299955323465728"",""18839785"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""subrsh87"",0,false,false"	
negative,"""6212"",""indian opposition failed to understand  skills before attacking him on demonetization"	
negative,"""5773"",""rt : cooperative banks shut down, sowing season completely disrupted, agri markets &amp; farmers badly affected demonetization"",false,0,na,""2016-11-22 17:43:55"",false,na,""801119028068519936"",na,""<a href="""" rel=""""nofollow"""">twitter for iphone</a>"",""reyansh0007"",22,true,false"	
negative,55deaths due to demonetization	
negative,"""5988"",""   on 12th nov, i had a seizure a few yards away frm atm... can i blame demonetization"",false,0,""krishnara"",""2016-11-22 16:53:38"",false,""801105972726902784"",""801106374339891200"",""20903478"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""gkundra"",0,false,false"	
negative,"""1810"",""rt : it's game set &amp; match to pm modi demonetization"",false,0,na,""2016-11-23 12:05:39"",false,na,""801396288474533888"",na,""<a href="""" rel=""""nofollow"""">mobile web (m5)</a>"",""paxbrutalis"",7,true,false"	
negative,"""3689"","" while i understand ur dislike for kejriwal, but what is ur logic behind supporting demonetization. i seriously want to know."",false,0,""hrajvansh"",""2016-11-23 07:08:29"",false,na,""801321504852078593"",""136605506"",""<a href="""" rel=""""nofollow"""">twitter for android</a>"",""amitesh94"",0,false,false"	
negative,"""2927"",""rt : unable to withdraw money for exam fees, teen hangs himself demonetization"	
negative,"""6453"",""rt : demonetization : paan shop owner gets 'fake' rs 2,000 note in ahmedabad."	
negative,delhities standing in long bank que's praising pm modi's demonetization &amp; cursing thug	
